station,date,latitude,longitude,elevation,name,city,city_province,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,province,AWND,WSF2
CA001011500,2022-01-06,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,184.0,,,,,,British Columbia,0.7651990000000001,1.1477985000000002
CA001011500,2022-01-08,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,,,,40.0,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-01-10,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,0.0,,43.0,,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-01-11,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,204.0,,,,,,British Columbia,0.7811990000000001,1.1717985000000002
CA001011500,2022-01-12,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,,,,95.0,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-01-15,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,,,,65.0,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-01-18,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,,,,70.0,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-01-25,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,,,,50.0,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-01-26,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,,,18.0,,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-01-28,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,,,,50.0,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-01-29,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,58.0,,,,,,British Columbia,0.6643990000000001,0.9965985000000002
CA001011500,2022-02-01,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,,,,,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-02-05,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,,,58.0,,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-02-06,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,,,,85.0,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-02-08,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,,,53.0,,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-02-11,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,0.0,,,,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-02-12,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,,,,105.0,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-02-15,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,,,,105.0,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-02-16,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,,,,,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-02-25,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,,,,,-20.0,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-02-28,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,,,,85.0,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-03-01,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,,,,130.0,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-03-04,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,0.0,,,,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-03-05,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,0.0,,,,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-03-06,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,0.0,,0.0,,,,British Columbia,0.6179990000000001,0.9269985000000001
CA001011500,2022-03-18,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,43.0,,,,,,British Columbia,0.6523990000000001,0.9785985000000001
CA001011500,2022-03-22,48.9333,-123.75,75.0,CHEMAINUS,Nanaimo,British Columbia,32.0,,,,,,British Columbia,0.643599,0.9653985
